Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.3.131-208.82.236.130-58517-80-6,192.168.3.131,58517,208.82.236.130,80,6,26/01/2011 01:54:17 AM,227627,5,5,443.0,4789.0,443.0,0.0,88.6,198.11562280648138,1460.0,0.0,957.8,702.7049167324789,22984.971027162857,43.93151954732962,25291.888888888887,30027.865381360545,64248.0,2.0,227627.0,56906.75,7455.780324687685,64248.0,50067.0,176374.0,44093.5,59242.491155701195,125834.0,2.0,0,0,0,0,112,112,21.96575977366481,21.96575977366481,0.0,1460.0,475.6363636363637,653.437108332129,426980.05454545456,1,2,0,5,9,0,0,0,1.0,523.2,88.6,957.8,0,0,0,5232,5,46682,0,44,0,478,8192,4823,1,20,0,0,0,0,1.295981657199959E15,0.0,1.295981657199959E15,1.295981657199959E15,NeedManualLabel
208.82.236.130-192.168.3.131-80-58517-6,208.82.236.130,80,192.168.3.131,58517,6,26/01/2011 01:54:17 AM,48854,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.40745895934826,24427.0,34513.88198971539,48832.0,22.0,48854.0,48854.0,0.0,48854.0,48854.0,0,0,0,0,0,0,0,0,0,40,20,40.93830597289884,20.46915298644942,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,4823,16322,0,20,0,0,0,0,1.29598165742799E15,0.0,1.29598165742799E15,1.29598165742799E15,NeedManualLabel
172.16.255.1-204.9.163.181-10639-443-6,172.16.255.1,10639,204.9.163.181,443,6,26/01/2011 01:54:14 AM,4097360,17,28,3463.0,28269.0,1029.0,0.0,203.70588235294122,390.1943049151734,1460.0,0.0,1009.6071428571431,648.3346951876994,7744.498896850655,10.982681531522736,93121.81818181819,439465.27685397194,2917385.0,5.0,1179708.0,73731.75,109803.52033488422,445773.0,572.0,4022159.0,148968.85185185185,558180.000049109,2917411.0,5.0,0,0,0,0,352,572,4.1490130230197,6.8336685085030355,0.0,1460.0,689.8260869565219,685.4293805701592,469813.4357487922,1,2,0,11,44,0,0,0,1.0,705.1555555555556,203.7058823529412,1009.6071428571429,0,0,0,31695,27,28741,0,76,0,628,8192,28,5,20,0,0,0,0,1.295981654196898E15,0.0,1.295981654196898E15,1.295981654196898E15,NeedManualLabel
172.16.255.1-204.9.163.181-10642-443-6,172.16.255.1,10642,204.9.163.181,443,6,26/01/2011 01:54:15 AM,3317976,9,13,1485.0,11296.0,1029.0,0.0,165.0,342.2338381866995,1460.0,0.0,868.9230769230769,708.9409309595148,3852.047151637022,6.630548261952468,157998.85714285716,634181.6784970444,2922056.0,15.0,394923.0,49365.375,40927.43471398931,94643.0,295.0,3245728.0,270477.3333333334,835904.0254612024,2922071.0,253.0,0,0,0,0,192,272,2.712497016253282,3.9180512456991856,0.0,1460.0,555.6956521739131,671.707216709957,451190.5849802371,1,2,0,7,21,0,0,0,1.0,580.9545454545455,165.0,868.9230769230769,0,0,0,12744,12,39536,0,67,0,513,8192,20,3,20,0,0,0,0,1.295981655220451E15,0.0,1.295981655220451E15,1.295981655220451E15,NeedManualLabel
172.16.255.1-204.9.163.181-10641-443-6,172.16.255.1,10641,204.9.163.181,443,6,26/01/2011 01:54:15 AM,3319498,9,13,1485.0,10800.0,1029.0,0.0,165.0,342.2338381866995,1460.0,0.0,830.7692307692307,690.2621668426852,3700.8607928066235,6.627508135266236,158071.33333333334,635669.647312921,2928707.0,26.0,390188.0,48773.50000000001,40118.62721978408,89736.0,393.0,3246993.0,270582.75,837941.6508796611,2928733.0,256.0,0,0,0,0,192,272,2.7112533280634605,3.916254807202776,0.0,1460.0,534.1304347826087,650.5268706872653,423185.209486166,1,2,0,7,21,0,0,0,1.0,558.4090909090909,165.0,830.7692307692307,0,0,0,12248,12,38614,0,67,0,490,8192,20,3,20,0,0,0,0,1.295981655219848E15,0.0,1.295981655219848E15,1.295981655219848E15,NeedManualLabel
172.16.255.1-204.9.163.181-10643-443-6,172.16.255.1,10643,204.9.163.181,443,6,26/01/2011 01:54:15 AM,3323344,7,9,1469.0,5296.0,1013.0,0.0,209.85714285714283,374.40282609840995,1460.0,0.0,588.4444444444445,687.0989941615238,2035.6002869399015,4.8144278774631815,221556.26666666666,768149.710004545,2995482.0,3.0,327859.0,54643.166666666664,43099.79186221978,99813.0,178.0,3250821.0,406352.62500000006,1046997.4995396446,2995517.0,3.0,0,0,0,0,152,192,2.106312196390142,2.7081156810730396,0.0,1460.0,397.9411764705883,578.2795032019806,334407.1838235294,1,2,0,7,15,0,0,0,1.0,422.8125,209.85714285714286,588.4444444444445,0,0,0,6728,8,26376,0,91,0,331,8192,20,3,20,0,0,0,0,1.295981655221373E15,0.0,1.295981655221373E15,1.295981655221373E15,NeedManualLabel
172.16.255.1-204.9.163.181-10640-443-6,172.16.255.1,10640,204.9.163.181,443,6,26/01/2011 01:54:15 AM,3339479,11,18,1485.0,17264.0,1029.0,0.0,135.0,313.2957069606923,1460.0,0.0,959.1111111111111,684.008762318221,5614.348825071216,8.683989328874354,119267.10714285716,533664.6339678366,2836987.0,3.0,501782.0,50178.200000000004,42335.47079065812,96892.0,1094.0,3261048.0,191826.35294117648,682735.5493832276,2837034.0,3.0,0,0,0,0,232,372,3.2939269868144105,5.390062342059944,0.0,1460.0,624.9666666666668,694.2216422049569,481943.6885057472,1,2,0,7,28,0,0,0,1.0,646.5172413793103,135.0,959.1111111111111,0,0,0,18712,17,44325,0,51,0,595,8192,20,3,20,0,0,0,0,1.295981655219096E15,0.0,1.295981655219096E15,1.295981655219096E15,NeedManualLabel
172.16.255.1-194.165.188.79-10627-443-6,172.16.255.1,10627,194.165.188.79,443,6,26/01/2011 01:54:07 AM,11354739,7,9,623.0,353.0,501.0,0.0,89.00000000000001,186.25609609710318,295.0,0.0,39.22222222222223,97.1683819173935,85.95530024952576,1.409103282779111,756982.6000000001,2503553.9548761705,9801438.0,96.0,1553301.0,258883.5,207766.385862343,529073.0,241.0,1.1181825E7,1397728.125,3488067.084833885,1.002666E7,13407.0,0,0,0,0,152,192,0.616482686215861,0.7926205965632499,0.0,501.0,57.41176470588236,136.23053017932938,18558.757352941175,1,2,0,8,15,0,0,0,1.0,61.0,89.0,39.22222222222222,0,0,0,976,8,845,0,38,0,22,8192,14,4,20,1553301.0,0.0,1553301.0,1553301.0,6.479908287827895E14,9.163974044966765E14,1.295981647764141E15,9801438.0,NeedManualLabel
172.16.255.1-194.165.188.79-10627-443-6,172.16.255.1,10627,194.165.188.79,443,6,26/01/2011 01:54:19 AM,137,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,14598.540145985402,137.0,0.0,137.0,137.0,137.0,137.0,0.0,137.0,137.0,0,0,0,0,0,0,0,0,0,40,0,14598.540145985402,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,16336,0,0,20,0,0,0,0,1.295981659118971E15,0.0,1.295981659118971E15,1.295981659118971E15,NeedManualLabel
72.14.213.156-192.168.3.131-80-57231-6,72.14.213.156,80,192.168.3.131,57231,6,26/01/2011 01:54:20 AM,1371866,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.186802501118914,685933.0,969980.7981604584,1371813.0,53.0,0,0,0,0,0,1371813.0,1371813.0,0.0,1371813.0,1371813.0,0,0,0,0,20,40,0.728934167039638,1.457868334079276,0.0,0.0,0.0,0.0,0.0,2,0,0,0,3,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,671,16445,0,20,0,0,0,0,1.295981660047757E15,0.0,1.295981660047757E15,1.295981660047757E15,NeedManualLabel
